Versuch;Zeit [ms] (+- 0,1ms);Abstandsmessung [mm]
1;368,3;856
2;369,2;
3;370,8;
4;360,7;
5;363,4;
6;368,9;
7;370,3;
8;366,8;
9;367,9;
10;375,7;856
11;364,1;
12;371,7;
13;366,2;
14;362,3;
15;365,3;
16;365,9;
17;364,5;
18;366,9;
19;361,3;
20;364,9;856
21;360,7;
22;366,6;
23;375,0;
24;372,3;
25;366,0;
26;365,3;
27;364,3;
28;370,3;
29;368,4;
30;365,1;856
31;358,7;
32;365,8;
33;360,5;
34;360,6;
35;355,9;
36;357,3;
37;356,1;
38;352,5;
39;353,6;
40;357,0;856
41;357,7;
42;358,9;
43;354,5;
44;356,3;
45;349,4;
46;361,0;
47;350,0;
48;358,0;
49;362,6;
50;365,4;856
