Versuch;1;2;3;4;5;6;7;8;9;10;11;12;13;14;Summe;Durchführender
1;0;2;3;6;7;11;4;8;6;3;0;0;0;0;50;Hendrik
In %;0;4;6;12;14;22;8;16;12;6;0;0;0;0;; 
2;1;1;1;5;7;10;10;7;5;3;0;0;0;0;50;David
In %;2;2;2;10;14;20;20;14;10;6;0;0;0;0;; 
3;1;4;4;4;3;9;4;10;6;3;2;0;0;0;50;Hendrik
In %;2;8;8;8;6;18;8;20;12;6;4;0;0;0;; 
4;2;2;2;2;11;7;7;8;8;1;0;0;0;0;50;David
In %;4;4;4;4;22;14;14;16;16;2;0;0;0;0;; 
5;2;3;1;4;9;7;6;4;8;2;2;2;0;0;50;Hendrik
In %;4;6;2;8;18;14;12;8;16;4;4;4;0;0;; 
6;3;0;2;1;9;7;9;6;6;5;2;0;0;0;50;David
In %;6;0;4;2;18;14;18;12;12;10;4;0;0;0;; 
7;0;2;1;4;6;5;9;10;4;5;1;3;0;0;50;Hendrik
In %;0;4;2;8;12;10;18;20;8;10;2;6;0;0;; 
8;1;1;3;5;7;4;7;11;8;2;1;0;0;0;50;David
In %;2;2;6;10;14;8;14;22;16;4;2;0;0;0;; 
9;1;1;3;0;7;6;10;7;10;4;0;0;1;0;50;Hendrik
In %;2;2;6;0;14;12;20;14;20;8;0;0;2;0;; 
10;2;1;1;3;8;7;4;6;10;7;1;0;0;0;50;David
In %;4;2;2;6;16;14;8;12;20;14;2;0;0;0;; 
;;;;;;;;;;;;;;;; 
Gesamt;13;17;21;34;74;73;70;77;71;35;9;5;1;0;500; 
In %;2,6;3,4;4,2;6,8;14,8;14,6;14;15,4;14,2;7;1,8;1;0,2;0;; 
